LOCALITY,QUALIFIED_PARITY,SINGLE,SMALL,PROFESSIONAL
Bangkok,0.8303794715668154,0.015254237288135594,0.012939001848428836,0.015582034830430797
Berlin,0.2830403368037777,0.005973715651135006,0.017834394904458598,0.021105527638190954
NewZealand,0.7719609582963621,0.004140786749482402,0.0053639846743295016,0.0042417815482502655
