LOCALITY,RELEVANCE_PARITY,SINGLE,SMALL,PROFESSIONAL
Bangkok,0.2550871859945417,19.079547816343315,13.062643875202037,51.20854591057956
Berlin,0.5556473638353734,23.34758207141699,14.202392029593991,12.973022429912877
NewZealand,0.4601183671391582,13.858374754310928,7.830223045038759,6.376492763156077
