DEMOCRAT,REPUBLICAN,PARITY,PRECINCT_ID,PPL_COUNT,PRECINCT_ABBRV
0.045098039215686274,0.05325785582255083,0.846786610522734,0,1405,0024
0.02623716153127918,0.060940388170055454,0.4305381425872087,1,1336,0013
0.0357609710550887,0.031134473197781884,0.8706271747995927,2,922,0040
0.057236227824463116,0.02628234750462107,0.45919076961581023,3,1068,0047-A
0.01699346405228758,0.021545748613678372,0.7887154146734654,4,555,0065
0.03071895424836601,0.061691312384473194,0.4979461947075959,5,1397,0011
0.029785247432306258,0.032867375231053604,0.9062253137927696,6,888,0036
0.025957049486461253,0.02420286506469501,0.9324197296506602,7,697,0052
0.04519140989729225,0.018022181146025877,0.3987966117230106,8,796,0035
0.05648926237161531,0.015307301293900184,0.27097718488871236,9,870,0031
0.01157796451914099,0.01969731977818854,0.5877939054409643,10,465,0029-A
0.034267040149393094,0.04326478743068392,0.7920307063635423,11,1116,0053
0.014939309056956116,0.013805452865064695,0.9241025011552679,12,399,0062
0.051353874883286646,0.038008317929759707,0.7401256091413209,13,1208,0038
0.027544351073762838,0.021950092421441775,0.7968999655377675,14,675,0047-B
0.04864612511671335,0.04857902033271719,0.9986205523289848,15,1362,0070
0.04145658263305322,0.0427449168207024,0.969859943977591,16,1184,0001
0.01045751633986928,0.012707948243992606,0.8229114676173499,17,332,0064
0.04491129785247432,0.02183456561922366,0.4861708893594291,18,859,0039
0.029225023342670402,0.029805914972273567,0.9805108606750194,19,829,0021
0.04752567693744164,0.03552449168207024,0.7474799723280399,20,1124,0048
0.015312791783380018,0.04378465804066543,0.34972961920036266,21,922,0012
0.01699346405228758,0.033907116451016635,0.5011769159679772,22,769,0015
0.0457516339869281,0.024029574861367836,0.5252178505413256,23,906,0034
0.05163398692810457,0.04106977818853974,0.7954020332717191,24,1264,0051
0.018674136321195144,0.027668669131238447,0.6749199331785602,25,679,0003
0.01045751633986928,0.01305452865064695,0.8010642605124645,26,338,0019
0.018113912231559292,0.023856284658040666,0.7592930957693813,27,607,0022
0.01680672268907563,0.01929297597042514,0.871131686207417,28,514,0029-B
0.02100840336134454,0.016115988909426986,0.7671210720887245,29,504,0020
0.018394024276377218,0.049676524953789276,0.3702759863635377,30,1057,0014
0.03510737628384687,0.03361829944547135,0.9575850719707398,31,958,0066
0.00037348272642390287,0.0007509242144177449,0.4973640738346621,32,17,0018
