DEMOCRAT,REPUBLICAN,BALANCE,PRECINCT_ID,PPL_COUNT,PRECINCT_ABBRV
0.3437722419928826,0.6562277580071174,0.5238611713665944,0,1405,0024
0.21032934131736528,0.7896706586826348,0.2663507109004739,1,1336,0013
0.4154013015184382,0.5845986984815619,0.7105751391465677,2,922,0040
0.5739700374531835,0.42602996254681647,0.7422512234910277,3,1068,0047-A
0.3279279279279279,0.6720720720720721,0.48793565683646106,4,555,0065
0.23550465282748748,0.7644953471725126,0.3080524344569288,5,1397,0011
0.35923423423423423,0.6407657657657657,0.5606326889279438,6,888,0036
0.3988522238163558,0.6011477761836442,0.6634844868735084,7,697,0052
0.6080402010050251,0.39195979899497485,0.6446280991735537,8,796,0035
0.6954022988505747,0.3045977011494253,0.4380165289256199,9,870,0031
0.26666666666666666,0.7333333333333333,0.36363636363636365,10,465,0029-A
0.3288530465949821,0.671146953405018,0.48998664886515353,11,1116,0053
0.40100250626566414,0.5989974937343359,0.6694560669456067,12,399,0062
0.4552980132450331,0.5447019867549668,0.8358662613981763,13,1208,0038
0.43703703703703706,0.562962962962963,0.7763157894736842,14,675,0047-B
0.38252569750367105,0.617474302496329,0.619500594530321,15,1362,0070
0.375,0.625,0.6,16,1184,0001
0.3373493975903614,0.6626506024096386,0.509090909090909,17,332,0064
0.559953434225844,0.440046565774156,0.7858627858627859,18,859,0039
0.3775633293124246,0.6224366706875754,0.6065891472868217,19,829,0021
0.452846975088968,0.547153024911032,0.8276422764227642,20,1124,0048
0.17787418655097614,0.8221258134490239,0.21635883905013192,21,922,0012
0.23667100130039012,0.7633289986996099,0.3100511073253833,22,769,0015
0.5408388520971302,0.45916114790286977,0.8489795918367348,23,906,0034
0.4375,0.5625,0.7777777777777778,24,1264,0051
0.29455081001472755,0.7054491899852725,0.4175365344467641,25,679,0003
0.33136094674556216,0.6686390532544378,0.4955752212389381,26,338,0019
0.31960461285008235,0.6803953871499177,0.4697336561743341,27,607,0022
0.35019455252918286,0.6498054474708171,0.5389221556886227,28,514,0029-B
0.44642857142857145,0.5535714285714286,0.8064516129032258,29,504,0020
0.18637653736991486,0.8136234626300851,0.22906976744186047,30,1057,0014
0.3924843423799583,0.6075156576200418,0.6460481099656358,31,958,0066
0.23529411764705882,0.7647058823529411,0.3076923076923077,32,17,0018
